# curie_map:
#   finos: https://air-governance-framework.finos.org/
#   nist_sp_800_53r5: https://w3id.org/lmodel/nist_sp_800_53/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
# license: https://www.apache.org/licenses/LICENSE-2.0.html
# mapping_date: '2026-06-04'
# mapping_set_description: FINOS AI Governance Framework mitigations (mi-N) and risks (ri-N) to NIST SP 800-53 Revision 5 security and privacy controls. Each row records that the FINOS catalogue entry cites the NIST control in its `nist-sp-800-53r5_references:` front-matter; relationship is `skos:relatedMatch` because FINOS mitigations are scoped to AI governance and NIST controls are general-purpose, so the alignment is associative rather than equivalent.
# mapping_set_id: https://github.com/finos/ai-governance-framework/tree/main/linkml/src/ai_governance_framework/mappings/finos_to_nist_sp_800_53r5.sssom.tsv
# mapping_set_version: 0.1.0
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	author_id	mapping_date	comment
finos:AIR-OP-014	Inadequate System Alignment	skos:relatedMatch	nist_sp_800_53r5:SA-11	Developer Testing and Evaluation	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-OP-014	Inadequate System Alignment	skos:relatedMatch	nist_sp_800_53r5:RA-3	Risk Assessment	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-OP-014	Inadequate System Alignment	skos:relatedMatch	nist_sp_800_53r5:CA-6	Authorization	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-DET-001	AI Data Leakage Prevention and Detection	skos:relatedMatch	nist_sp_800_53r5:AC-4	Information Flow Enforcement	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-DET-001	AI Data Leakage Prevention and Detection	skos:relatedMatch	nist_sp_800_53r5:AC-20	Use of External Systems	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-DET-001	AI Data Leakage Prevention and Detection	skos:relatedMatch	nist_sp_800_53r5:AU-13	Monitoring for Information Disclosure	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-DET-001	AI Data Leakage Prevention and Detection	skos:relatedMatch	nist_sp_800_53r5:CA-3	Information Exchange	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-DET-001	AI Data Leakage Prevention and Detection	skos:relatedMatch	nist_sp_800_53r5:CA-7	Authorization	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-DET-001	AI Data Leakage Prevention and Detection	skos:relatedMatch	nist_sp_800_53r5:IR-4	Incident Handling	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-DET-001	AI Data Leakage Prevention and Detection	skos:relatedMatch	nist_sp_800_53r5:IR-9	Information Spillage Response	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-DET-001	AI Data Leakage Prevention and Detection	skos:relatedMatch	nist_sp_800_53r5:MP-6	Media Sanitization	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-DET-001	AI Data Leakage Prevention and Detection	skos:relatedMatch	nist_sp_800_53r5:SA-9	External System Services	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-DET-001	AI Data Leakage Prevention and Detection	skos:relatedMatch	nist_sp_800_53r5:SC-7	Boundary Protection	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-DET-001	AI Data Leakage Prevention and Detection	skos:relatedMatch	nist_sp_800_53r5:SC-8	Transmission Confidentiality and Integrity	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-DET-001	AI Data Leakage Prevention and Detection	skos:relatedMatch	nist_sp_800_53r5:SC-28	Protection of Information at Rest	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-DET-001	AI Data Leakage Prevention and Detection	skos:relatedMatch	nist_sp_800_53r5:SI-4	System Monitoring	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-DET-001	AI Data Leakage Prevention and Detection	skos:relatedMatch	nist_sp_800_53r5:SI-20	Tainting	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-PREV-002	Data Filtering From External Knowledge Bases	skos:relatedMatch	nist_sp_800_53r5:AC-4	Information Flow Enforcement	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
