# curie_map:
#   finos: https://air-governance-framework.finos.org/
#   ffiec_it: https://ithandbook.ffiec.gov/it-booklets/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
# license: https://www.apache.org/licenses/LICENSE-2.0.html
# mapping_date: '2026-06-04'
# mapping_set_description: FINOS AI Governance Framework risks (ri-N) and use cases (uc-N) to FFIEC IT Examination Handbook booklet sections.
# mapping_set_id: https://github.com/finos/ai-governance-framework/tree/main/linkml/src/ai_governance_framework/mappings/finos_to_ffiec_it.sssom.tsv
# mapping_set_version: 0.1.0
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	author_id	mapping_date	comment
finos:AIR-RC-001	Information Leaked To Hosted Model	skos:relatedMatch	ffiec_it:sec-2	SEC: II Information Security Program Management	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-RC-001	Information Leaked To Hosted Model	skos:relatedMatch	ffiec_it:sec-3	SEC: III Security Operations	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-RC-001	Information Leaked To Hosted Model	skos:relatedMatch	ffiec_it:ots-2	OTS: Risk Management	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-SEC-002	Information Leaked to Vector Store	skos:relatedMatch	ffiec_it:sec-3	SEC: III Security Operations	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-SEC-002	Information Leaked to Vector Store	skos:relatedMatch	ffiec_it:sec-4	SEC: IV Information Security Program Effectiveness	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-SEC-002	Information Leaked to Vector Store	skos:relatedMatch	ffiec_it:aud-4	AUD: Risk Assessment and Risk-Based Auditing	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-OP-004	Hallucination and Inaccurate Outputs	skos:relatedMatch	ffiec_it:dam-3	DAM: III Risk Management of Development, Acquisition, and Maintenance	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-OP-004	Hallucination and Inaccurate Outputs	skos:relatedMatch	ffiec_it:aud-4	AUD: Risk Assessment and Risk-Based Auditing	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-OP-004	Hallucination and Inaccurate Outputs	skos:relatedMatch	ffiec_it:mgt-2	MGT: II Risk Management	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
finos:AIR-OP-005	Foundation Model Versioning	skos:relatedMatch	ffiec_it:ots-2	OTS: Risk Management	semapv:LLMBasedMatching	https://github.com/finos/ai-governance-framework	2026-06-04	
